case_id,summary,urgency_nlp,bail_eligibility_nlp,case_complexity,keywords
1,Legal case summary text 1,high,0,low,keyword1 keyword2
2,Legal case summary text 2,medium,0,low,keyword1 keyword2
3,Legal case summary text 3,medium,0,high,keyword1 keyword2
4,Legal case summary text 4,high,1,high,keyword1 keyword2
5,Legal case summary text 5,medium,0,high,keyword1 keyword2
6,Legal case summary text 6,low,1,medium,keyword1 keyword2
7,Legal case summary text 7,medium,1,high,keyword1 keyword2
8,Legal case summary text 8,high,1,low,keyword1 keyword2
9,Legal case summary text 9,medium,0,low,keyword1 keyword2
10,Legal case summary text 10,low,1,high,keyword1 keyword2
11,Legal case summary text 11,high,0,high,keyword1 keyword2
12,Legal case summary text 12,low,0,medium,keyword1 keyword2
13,Legal case summary text 13,low,0,medium,keyword1 keyword2
14,Legal case summary text 14,low,1,high,keyword1 keyword2
15,Legal case summary text 15,medium,1,high,keyword1 keyword2
16,Legal case summary text 16,medium,1,low,keyword1 keyword2
17,Legal case summary text 17,high,1,medium,keyword1 keyword2
18,Legal case summary text 18,medium,0,high,keyword1 keyword2
19,Legal case summary text 19,low,1,high,keyword1 keyword2
20,Legal case summary text 20,high,0,medium,keyword1 keyword2
21,Legal case summary text 21,high,0,medium,keyword1 keyword2
22,Legal case summary text 22,high,1,high,keyword1 keyword2
23,Legal case summary text 23,medium,0,high,keyword1 keyword2
24,Legal case summary text 24,low,1,low,keyword1 keyword2
25,Legal case summary text 25,low,0,low,keyword1 keyword2
26,Legal case summary text 26,high,0,high,keyword1 keyword2
27,Legal case summary text 27,medium,0,low,keyword1 keyword2
28,Legal case summary text 28,low,1,high,keyword1 keyword2
29,Legal case summary text 29,low,0,medium,keyword1 keyword2
30,Legal case summary text 30,low,1,low,keyword1 keyword2
31,Legal case summary text 31,low,0,medium,keyword1 keyword2
32,Legal case summary text 32,low,1,medium,keyword1 keyword2
33,Legal case summary text 33,high,1,high,keyword1 keyword2
34,Legal case summary text 34,medium,0,medium,keyword1 keyword2
35,Legal case summary text 35,high,1,low,keyword1 keyword2
36,Legal case summary text 36,high,0,low,keyword1 keyword2
37,Legal case summary text 37,medium,0,medium,keyword1 keyword2
38,Legal case summary text 38,high,0,high,keyword1 keyword2
39,Legal case summary text 39,medium,0,high,keyword1 keyword2
40,Legal case summary text 40,medium,1,medium,keyword1 keyword2
41,Legal case summary text 41,medium,0,high,keyword1 keyword2
42,Legal case summary text 42,low,1,low,keyword1 keyword2
43,Legal case summary text 43,medium,0,low,keyword1 keyword2
44,Legal case summary text 44,medium,0,high,keyword1 keyword2
45,Legal case summary text 45,high,0,low,keyword1 keyword2
46,Legal case summary text 46,high,1,low,keyword1 keyword2
47,Legal case summary text 47,high,0,medium,keyword1 keyword2
48,Legal case summary text 48,high,1,low,keyword1 keyword2
49,Legal case summary text 49,low,1,high,keyword1 keyword2
50,Legal case summary text 50,high,1,high,keyword1 keyword2
51,Legal case summary text 51,high,1,medium,keyword1 keyword2
52,Legal case summary text 52,high,0,high,keyword1 keyword2
53,Legal case summary text 53,high,1,medium,keyword1 keyword2
54,Legal case summary text 54,medium,0,medium,keyword1 keyword2
55,Legal case summary text 55,low,1,medium,keyword1 keyword2
56,Legal case summary text 56,medium,0,medium,keyword1 keyword2
57,Legal case summary text 57,low,0,medium,keyword1 keyword2
58,Legal case summary text 58,medium,1,medium,keyword1 keyword2
59,Legal case summary text 59,high,0,medium,keyword1 keyword2
60,Legal case summary text 60,high,0,medium,keyword1 keyword2
61,Legal case summary text 61,high,0,medium,keyword1 keyword2
62,Legal case summary text 62,low,0,high,keyword1 keyword2
63,Legal case summary text 63,low,1,low,keyword1 keyword2
64,Legal case summary text 64,high,1,medium,keyword1 keyword2
65,Legal case summary text 65,high,1,high,keyword1 keyword2
66,Legal case summary text 66,low,1,high,keyword1 keyword2
67,Legal case summary text 67,medium,0,high,keyword1 keyword2
68,Legal case summary text 68,medium,1,high,keyword1 keyword2
69,Legal case summary text 69,medium,1,high,keyword1 keyword2
70,Legal case summary text 70,high,1,low,keyword1 keyword2
71,Legal case summary text 71,low,0,high,keyword1 keyword2
72,Legal case summary text 72,medium,0,medium,keyword1 keyword2
73,Legal case summary text 73,high,0,medium,keyword1 keyword2
74,Legal case summary text 74,high,0,medium,keyword1 keyword2
75,Legal case summary text 75,high,0,low,keyword1 keyword2
76,Legal case summary text 76,low,1,medium,keyword1 keyword2
77,Legal case summary text 77,low,0,low,keyword1 keyword2
78,Legal case summary text 78,low,0,medium,keyword1 keyword2
79,Legal case summary text 79,high,0,medium,keyword1 keyword2
80,Legal case summary text 80,high,0,high,keyword1 keyword2
81,Legal case summary text 81,low,0,high,keyword1 keyword2
82,Legal case summary text 82,high,0,low,keyword1 keyword2
83,Legal case summary text 83,low,1,medium,keyword1 keyword2
84,Legal case summary text 84,low,1,high,keyword1 keyword2
85,Legal case summary text 85,low,0,low,keyword1 keyword2
86,Legal case summary text 86,high,0,high,keyword1 keyword2
87,Legal case summary text 87,low,0,low,keyword1 keyword2
88,Legal case summary text 88,high,1,high,keyword1 keyword2
89,Legal case summary text 89,medium,1,medium,keyword1 keyword2
90,Legal case summary text 90,low,0,high,keyword1 keyword2
91,Legal case summary text 91,medium,1,low,keyword1 keyword2
92,Legal case summary text 92,high,0,medium,keyword1 keyword2
93,Legal case summary text 93,low,1,medium,keyword1 keyword2
94,Legal case summary text 94,medium,1,medium,keyword1 keyword2
95,Legal case summary text 95,low,0,low,keyword1 keyword2
96,Legal case summary text 96,low,0,low,keyword1 keyword2
97,Legal case summary text 97,high,1,high,keyword1 keyword2
98,Legal case summary text 98,high,0,high,keyword1 keyword2
99,Legal case summary text 99,high,1,high,keyword1 keyword2
100,Legal case summary text 100,medium,0,low,keyword1 keyword2
101,Legal case summary text 101,medium,1,low,keyword1 keyword2
102,Legal case summary text 102,medium,0,high,keyword1 keyword2
103,Legal case summary text 103,low,0,medium,keyword1 keyword2
104,Legal case summary text 104,high,0,medium,keyword1 keyword2
105,Legal case summary text 105,medium,1,high,keyword1 keyword2
106,Legal case summary text 106,high,1,low,keyword1 keyword2
107,Legal case summary text 107,low,0,medium,keyword1 keyword2
108,Legal case summary text 108,medium,1,low,keyword1 keyword2
109,Legal case summary text 109,medium,1,medium,keyword1 keyword2
110,Legal case summary text 110,high,0,high,keyword1 keyword2
111,Legal case summary text 111,high,0,low,keyword1 keyword2
112,Legal case summary text 112,medium,0,high,keyword1 keyword2
113,Legal case summary text 113,high,1,low,keyword1 keyword2
114,Legal case summary text 114,medium,1,low,keyword1 keyword2
115,Legal case summary text 115,high,0,medium,keyword1 keyword2
116,Legal case summary text 116,medium,0,high,keyword1 keyword2
117,Legal case summary text 117,low,0,low,keyword1 keyword2
118,Legal case summary text 118,high,0,low,keyword1 keyword2
119,Legal case summary text 119,medium,0,low,keyword1 keyword2
120,Legal case summary text 120,medium,0,high,keyword1 keyword2
121,Legal case summary text 121,low,0,high,keyword1 keyword2
122,Legal case summary text 122,high,0,medium,keyword1 keyword2
123,Legal case summary text 123,high,0,medium,keyword1 keyword2
124,Legal case summary text 124,low,1,low,keyword1 keyword2
125,Legal case summary text 125,low,0,low,keyword1 keyword2
126,Legal case summary text 126,high,0,medium,keyword1 keyword2
127,Legal case summary text 127,high,0,low,keyword1 keyword2
128,Legal case summary text 128,low,0,medium,keyword1 keyword2
129,Legal case summary text 129,high,1,medium,keyword1 keyword2
130,Legal case summary text 130,low,0,low,keyword1 keyword2
131,Legal case summary text 131,low,1,medium,keyword1 keyword2
132,Legal case summary text 132,low,0,low,keyword1 keyword2
133,Legal case summary text 133,medium,1,low,keyword1 keyword2
134,Legal case summary text 134,medium,0,low,keyword1 keyword2
135,Legal case summary text 135,low,1,medium,keyword1 keyword2
136,Legal case summary text 136,low,1,low,keyword1 keyword2
137,Legal case summary text 137,medium,1,high,keyword1 keyword2
138,Legal case summary text 138,medium,0,low,keyword1 keyword2
139,Legal case summary text 139,low,1,low,keyword1 keyword2
140,Legal case summary text 140,high,0,high,keyword1 keyword2
141,Legal case summary text 141,medium,1,low,keyword1 keyword2
142,Legal case summary text 142,high,0,low,keyword1 keyword2
143,Legal case summary text 143,low,0,medium,keyword1 keyword2
144,Legal case summary text 144,low,1,low,keyword1 keyword2
145,Legal case summary text 145,low,1,high,keyword1 keyword2
146,Legal case summary text 146,low,1,low,keyword1 keyword2
147,Legal case summary text 147,medium,1,high,keyword1 keyword2
148,Legal case summary text 148,low,1,low,keyword1 keyword2
149,Legal case summary text 149,high,0,low,keyword1 keyword2
150,Legal case summary text 150,low,0,low,keyword1 keyword2
151,Legal case summary text 151,medium,0,low,keyword1 keyword2
152,Legal case summary text 152,medium,0,high,keyword1 keyword2
153,Legal case summary text 153,medium,0,medium,keyword1 keyword2
154,Legal case summary text 154,medium,1,high,keyword1 keyword2
155,Legal case summary text 155,medium,1,high,keyword1 keyword2
156,Legal case summary text 156,medium,1,medium,keyword1 keyword2
157,Legal case summary text 157,high,0,medium,keyword1 keyword2
158,Legal case summary text 158,medium,0,low,keyword1 keyword2
159,Legal case summary text 159,low,1,high,keyword1 keyword2
160,Legal case summary text 160,high,0,high,keyword1 keyword2
161,Legal case summary text 161,high,0,low,keyword1 keyword2
162,Legal case summary text 162,low,1,high,keyword1 keyword2
163,Legal case summary text 163,low,1,low,keyword1 keyword2
164,Legal case summary text 164,low,0,medium,keyword1 keyword2
165,Legal case summary text 165,high,0,medium,keyword1 keyword2
166,Legal case summary text 166,low,0,low,keyword1 keyword2
167,Legal case summary text 167,high,1,high,keyword1 keyword2
168,Legal case summary text 168,medium,0,medium,keyword1 keyword2
169,Legal case summary text 169,low,0,high,keyword1 keyword2
170,Legal case summary text 170,high,1,medium,keyword1 keyword2
171,Legal case summary text 171,high,1,medium,keyword1 keyword2
172,Legal case summary text 172,low,1,low,keyword1 keyword2
173,Legal case summary text 173,high,1,low,keyword1 keyword2
174,Legal case summary text 174,low,0,medium,keyword1 keyword2
175,Legal case summary text 175,high,0,medium,keyword1 keyword2
176,Legal case summary text 176,high,1,low,keyword1 keyword2
177,Legal case summary text 177,high,0,high,keyword1 keyword2
178,Legal case summary text 178,low,1,medium,keyword1 keyword2
179,Legal case summary text 179,high,1,medium,keyword1 keyword2
180,Legal case summary text 180,high,0,medium,keyword1 keyword2
181,Legal case summary text 181,low,0,low,keyword1 keyword2
182,Legal case summary text 182,high,1,high,keyword1 keyword2
183,Legal case summary text 183,high,1,medium,keyword1 keyword2
184,Legal case summary text 184,low,0,low,keyword1 keyword2
185,Legal case summary text 185,medium,1,medium,keyword1 keyword2
186,Legal case summary text 186,high,1,medium,keyword1 keyword2
187,Legal case summary text 187,high,1,medium,keyword1 keyword2
188,Legal case summary text 188,medium,1,high,keyword1 keyword2
189,Legal case summary text 189,low,0,medium,keyword1 keyword2
190,Legal case summary text 190,low,1,low,keyword1 keyword2
191,Legal case summary text 191,high,0,high,keyword1 keyword2
192,Legal case summary text 192,low,1,low,keyword1 keyword2
193,Legal case summary text 193,medium,0,low,keyword1 keyword2
194,Legal case summary text 194,high,0,high,keyword1 keyword2
195,Legal case summary text 195,low,0,high,keyword1 keyword2
196,Legal case summary text 196,high,0,low,keyword1 keyword2
197,Legal case summary text 197,high,0,high,keyword1 keyword2
198,Legal case summary text 198,high,1,high,keyword1 keyword2
199,Legal case summary text 199,high,0,medium,keyword1 keyword2
200,Legal case summary text 200,medium,1,high,keyword1 keyword2
201,Legal case summary text 201,low,1,medium,keyword1 keyword2
202,Legal case summary text 202,medium,1,high,keyword1 keyword2
203,Legal case summary text 203,medium,1,medium,keyword1 keyword2
204,Legal case summary text 204,low,1,medium,keyword1 keyword2
205,Legal case summary text 205,high,0,medium,keyword1 keyword2
206,Legal case summary text 206,low,1,low,keyword1 keyword2
207,Legal case summary text 207,high,0,low,keyword1 keyword2
208,Legal case summary text 208,medium,0,high,keyword1 keyword2
209,Legal case summary text 209,low,0,low,keyword1 keyword2
210,Legal case summary text 210,low,0,high,keyword1 keyword2
211,Legal case summary text 211,low,1,low,keyword1 keyword2
212,Legal case summary text 212,high,0,high,keyword1 keyword2
213,Legal case summary text 213,low,1,medium,keyword1 keyword2
214,Legal case summary text 214,low,1,medium,keyword1 keyword2
215,Legal case summary text 215,low,0,high,keyword1 keyword2
216,Legal case summary text 216,high,0,medium,keyword1 keyword2
217,Legal case summary text 217,low,1,high,keyword1 keyword2
218,Legal case summary text 218,medium,0,low,keyword1 keyword2
219,Legal case summary text 219,low,0,high,keyword1 keyword2
220,Legal case summary text 220,medium,0,high,keyword1 keyword2
221,Legal case summary text 221,medium,0,high,keyword1 keyword2
222,Legal case summary text 222,medium,1,low,keyword1 keyword2
223,Legal case summary text 223,low,0,high,keyword1 keyword2
224,Legal case summary text 224,medium,0,high,keyword1 keyword2
225,Legal case summary text 225,high,1,medium,keyword1 keyword2
226,Legal case summary text 226,low,1,high,keyword1 keyword2
227,Legal case summary text 227,medium,1,low,keyword1 keyword2
228,Legal case summary text 228,low,1,low,keyword1 keyword2
229,Legal case summary text 229,high,0,medium,keyword1 keyword2
230,Legal case summary text 230,low,0,high,keyword1 keyword2
231,Legal case summary text 231,high,1,high,keyword1 keyword2
232,Legal case summary text 232,low,0,low,keyword1 keyword2
233,Legal case summary text 233,low,0,medium,keyword1 keyword2
234,Legal case summary text 234,high,1,medium,keyword1 keyword2
235,Legal case summary text 235,low,0,high,keyword1 keyword2
236,Legal case summary text 236,high,0,high,keyword1 keyword2
237,Legal case summary text 237,medium,1,low,keyword1 keyword2
238,Legal case summary text 238,high,0,high,keyword1 keyword2
239,Legal case summary text 239,high,0,high,keyword1 keyword2
240,Legal case summary text 240,high,0,high,keyword1 keyword2
241,Legal case summary text 241,high,0,medium,keyword1 keyword2
242,Legal case summary text 242,low,1,low,keyword1 keyword2
243,Legal case summary text 243,medium,1,high,keyword1 keyword2
244,Legal case summary text 244,high,1,high,keyword1 keyword2
245,Legal case summary text 245,medium,1,medium,keyword1 keyword2
246,Legal case summary text 246,medium,0,high,keyword1 keyword2
247,Legal case summary text 247,low,0,high,keyword1 keyword2
248,Legal case summary text 248,low,1,low,keyword1 keyword2
249,Legal case summary text 249,high,1,low,keyword1 keyword2
250,Legal case summary text 250,high,1,low,keyword1 keyword2
251,Legal case summary text 251,low,0,high,keyword1 keyword2
252,Legal case summary text 252,high,1,low,keyword1 keyword2
253,Legal case summary text 253,high,0,medium,keyword1 keyword2
254,Legal case summary text 254,low,0,medium,keyword1 keyword2
255,Legal case summary text 255,medium,1,high,keyword1 keyword2
256,Legal case summary text 256,medium,1,medium,keyword1 keyword2
257,Legal case summary text 257,low,1,medium,keyword1 keyword2
258,Legal case summary text 258,high,1,high,keyword1 keyword2
259,Legal case summary text 259,medium,1,medium,keyword1 keyword2
260,Legal case summary text 260,high,0,medium,keyword1 keyword2
261,Legal case summary text 261,high,1,low,keyword1 keyword2
262,Legal case summary text 262,low,1,medium,keyword1 keyword2
263,Legal case summary text 263,low,0,high,keyword1 keyword2
264,Legal case summary text 264,high,0,medium,keyword1 keyword2
265,Legal case summary text 265,medium,1,medium,keyword1 keyword2
266,Legal case summary text 266,high,0,high,keyword1 keyword2
267,Legal case summary text 267,high,1,low,keyword1 keyword2
268,Legal case summary text 268,low,0,low,keyword1 keyword2
269,Legal case summary text 269,high,1,high,keyword1 keyword2
270,Legal case summary text 270,low,1,low,keyword1 keyword2
271,Legal case summary text 271,high,0,medium,keyword1 keyword2
272,Legal case summary text 272,high,0,high,keyword1 keyword2
273,Legal case summary text 273,low,0,medium,keyword1 keyword2
274,Legal case summary text 274,low,1,high,keyword1 keyword2
275,Legal case summary text 275,low,1,high,keyword1 keyword2
276,Legal case summary text 276,medium,1,low,keyword1 keyword2
277,Legal case summary text 277,low,1,high,keyword1 keyword2
278,Legal case summary text 278,low,0,high,keyword1 keyword2
279,Legal case summary text 279,medium,0,medium,keyword1 keyword2
280,Legal case summary text 280,medium,0,medium,keyword1 keyword2
281,Legal case summary text 281,high,0,high,keyword1 keyword2
282,Legal case summary text 282,low,0,high,keyword1 keyword2
283,Legal case summary text 283,medium,0,low,keyword1 keyword2
284,Legal case summary text 284,low,0,medium,keyword1 keyword2
285,Legal case summary text 285,high,0,low,keyword1 keyword2
286,Legal case summary text 286,low,0,low,keyword1 keyword2
287,Legal case summary text 287,high,0,medium,keyword1 keyword2
288,Legal case summary text 288,low,0,low,keyword1 keyword2
289,Legal case summary text 289,low,0,high,keyword1 keyword2
290,Legal case summary text 290,low,1,high,keyword1 keyword2
291,Legal case summary text 291,medium,1,low,keyword1 keyword2
292,Legal case summary text 292,high,0,low,keyword1 keyword2
293,Legal case summary text 293,low,0,low,keyword1 keyword2
294,Legal case summary text 294,medium,0,medium,keyword1 keyword2
295,Legal case summary text 295,high,1,high,keyword1 keyword2
296,Legal case summary text 296,low,1,medium,keyword1 keyword2
297,Legal case summary text 297,low,1,high,keyword1 keyword2
298,Legal case summary text 298,medium,0,low,keyword1 keyword2
299,Legal case summary text 299,medium,0,medium,keyword1 keyword2
300,Legal case summary text 300,high,0,high,keyword1 keyword2
301,Legal case summary text 301,high,0,low,keyword1 keyword2
302,Legal case summary text 302,high,0,high,keyword1 keyword2
303,Legal case summary text 303,high,0,medium,keyword1 keyword2
304,Legal case summary text 304,medium,1,medium,keyword1 keyword2
305,Legal case summary text 305,low,1,medium,keyword1 keyword2
306,Legal case summary text 306,medium,0,high,keyword1 keyword2
307,Legal case summary text 307,high,1,medium,keyword1 keyword2
308,Legal case summary text 308,low,0,low,keyword1 keyword2
309,Legal case summary text 309,low,1,high,keyword1 keyword2
310,Legal case summary text 310,high,1,medium,keyword1 keyword2
311,Legal case summary text 311,high,1,high,keyword1 keyword2
312,Legal case summary text 312,high,0,medium,keyword1 keyword2
313,Legal case summary text 313,medium,1,medium,keyword1 keyword2
314,Legal case summary text 314,low,0,low,keyword1 keyword2
315,Legal case summary text 315,high,0,high,keyword1 keyword2
316,Legal case summary text 316,medium,1,medium,keyword1 keyword2
317,Legal case summary text 317,medium,0,medium,keyword1 keyword2
318,Legal case summary text 318,high,1,medium,keyword1 keyword2
319,Legal case summary text 319,low,0,high,keyword1 keyword2
320,Legal case summary text 320,low,0,medium,keyword1 keyword2
321,Legal case summary text 321,low,1,low,keyword1 keyword2
322,Legal case summary text 322,medium,0,medium,keyword1 keyword2
323,Legal case summary text 323,low,1,medium,keyword1 keyword2
324,Legal case summary text 324,low,1,low,keyword1 keyword2
325,Legal case summary text 325,medium,1,medium,keyword1 keyword2
326,Legal case summary text 326,high,0,high,keyword1 keyword2
327,Legal case summary text 327,high,0,low,keyword1 keyword2
328,Legal case summary text 328,high,0,low,keyword1 keyword2
329,Legal case summary text 329,high,1,high,keyword1 keyword2
330,Legal case summary text 330,low,1,low,keyword1 keyword2
331,Legal case summary text 331,high,1,medium,keyword1 keyword2
332,Legal case summary text 332,high,1,medium,keyword1 keyword2
333,Legal case summary text 333,low,1,medium,keyword1 keyword2
334,Legal case summary text 334,medium,0,high,keyword1 keyword2
335,Legal case summary text 335,high,1,low,keyword1 keyword2
336,Legal case summary text 336,high,1,low,keyword1 keyword2
337,Legal case summary text 337,medium,0,low,keyword1 keyword2
338,Legal case summary text 338,high,1,low,keyword1 keyword2
339,Legal case summary text 339,medium,0,high,keyword1 keyword2
340,Legal case summary text 340,medium,1,low,keyword1 keyword2
341,Legal case summary text 341,high,1,medium,keyword1 keyword2
342,Legal case summary text 342,medium,0,medium,keyword1 keyword2
343,Legal case summary text 343,high,0,medium,keyword1 keyword2
344,Legal case summary text 344,medium,1,high,keyword1 keyword2
345,Legal case summary text 345,low,0,high,keyword1 keyword2
346,Legal case summary text 346,low,1,low,keyword1 keyword2
347,Legal case summary text 347,low,0,low,keyword1 keyword2
348,Legal case summary text 348,high,1,medium,keyword1 keyword2
349,Legal case summary text 349,medium,0,high,keyword1 keyword2
350,Legal case summary text 350,low,0,high,keyword1 keyword2
351,Legal case summary text 351,medium,1,medium,keyword1 keyword2
352,Legal case summary text 352,high,1,low,keyword1 keyword2
353,Legal case summary text 353,low,1,medium,keyword1 keyword2
354,Legal case summary text 354,medium,0,high,keyword1 keyword2
355,Legal case summary text 355,low,0,medium,keyword1 keyword2
356,Legal case summary text 356,low,1,medium,keyword1 keyword2
357,Legal case summary text 357,low,1,high,keyword1 keyword2
358,Legal case summary text 358,low,1,low,keyword1 keyword2
359,Legal case summary text 359,medium,0,high,keyword1 keyword2
360,Legal case summary text 360,high,0,medium,keyword1 keyword2
361,Legal case summary text 361,low,0,low,keyword1 keyword2
362,Legal case summary text 362,low,1,high,keyword1 keyword2
363,Legal case summary text 363,medium,0,high,keyword1 keyword2
364,Legal case summary text 364,medium,1,high,keyword1 keyword2
365,Legal case summary text 365,high,0,low,keyword1 keyword2
366,Legal case summary text 366,low,1,high,keyword1 keyword2
367,Legal case summary text 367,high,1,low,keyword1 keyword2
368,Legal case summary text 368,low,0,medium,keyword1 keyword2
369,Legal case summary text 369,medium,1,low,keyword1 keyword2
370,Legal case summary text 370,high,1,low,keyword1 keyword2
371,Legal case summary text 371,low,1,high,keyword1 keyword2
372,Legal case summary text 372,high,0,low,keyword1 keyword2
373,Legal case summary text 373,medium,0,low,keyword1 keyword2
374,Legal case summary text 374,high,0,high,keyword1 keyword2
375,Legal case summary text 375,high,0,low,keyword1 keyword2
376,Legal case summary text 376,low,1,low,keyword1 keyword2
377,Legal case summary text 377,medium,0,medium,keyword1 keyword2
378,Legal case summary text 378,high,1,medium,keyword1 keyword2
379,Legal case summary text 379,high,0,medium,keyword1 keyword2
380,Legal case summary text 380,high,1,low,keyword1 keyword2
381,Legal case summary text 381,low,1,high,keyword1 keyword2
382,Legal case summary text 382,low,1,high,keyword1 keyword2
383,Legal case summary text 383,high,1,low,keyword1 keyword2
384,Legal case summary text 384,medium,1,high,keyword1 keyword2
385,Legal case summary text 385,high,1,high,keyword1 keyword2
386,Legal case summary text 386,low,0,medium,keyword1 keyword2
387,Legal case summary text 387,low,0,medium,keyword1 keyword2
388,Legal case summary text 388,low,1,low,keyword1 keyword2
389,Legal case summary text 389,low,1,medium,keyword1 keyword2
390,Legal case summary text 390,low,1,low,keyword1 keyword2
391,Legal case summary text 391,high,1,high,keyword1 keyword2
392,Legal case summary text 392,high,0,medium,keyword1 keyword2
393,Legal case summary text 393,high,0,low,keyword1 keyword2
394,Legal case summary text 394,medium,1,high,keyword1 keyword2
395,Legal case summary text 395,medium,1,high,keyword1 keyword2
396,Legal case summary text 396,high,0,low,keyword1 keyword2
397,Legal case summary text 397,medium,1,high,keyword1 keyword2
398,Legal case summary text 398,medium,0,high,keyword1 keyword2
399,Legal case summary text 399,high,1,low,keyword1 keyword2
400,Legal case summary text 400,medium,1,low,keyword1 keyword2
401,Legal case summary text 401,high,0,low,keyword1 keyword2
402,Legal case summary text 402,medium,1,low,keyword1 keyword2
403,Legal case summary text 403,medium,0,low,keyword1 keyword2
404,Legal case summary text 404,high,1,high,keyword1 keyword2
